location,total_sqft,bath,balcony,bhk,price
Ramakrishnappa Layout,1500.0,2.0,2.0,2,185.0
Murugeshpalya,1407.0,4.0,1.0,6,150.0
Govindaraja Nagar Ward,840.0,2.0,2.0,2,45.0
Tharabanahalli,4395.0,3.0,2.0,3,240.0
Ganga Nagar,845.0,2.0,1.0,2,55.0
Whitefield,5700.0,5.0,3.0,4,650.0
Varthur,1160.0,2.0,2.0,2,44.0
Bommanahalli,3000.0,8.0,0.0,8,140.0
Doddathoguru,1100.0,2.0,1.0,2,62.0
Gunjur,1140.0,2.0,3.0,2,43.0
Marathahalli,1220.0,2.0,1.0,2,57.0
Devarachikkanahalli,1350.0,7.0,0.0,8,85.0
Kanakpura Road,1005.0,2.0,1.0,2,36.68
Double Road,500.0,3.0,2.0,3,100.0
Begur Road,1358.0,2.0,1.0,2,80.58
Hegde Nagar,1569.0,3.0,1.0,3,101.0
Haralur Road,1240.0,2.0,1.0,2,70.0
Hennur Road,2089.0,3.0,2.0,3,140.0
Kothannur,1206.0,2.0,1.0,2,48.23
Kalena Agrahara,1150.0,2.0,3.0,2,40.0
Cholanayakanahalli,2511.0,3.0,3.0,3,205.0
Kaval Byrasandra,460.0,1.0,0.0,2,22.0
ISRO Layout,4400.0,6.0,3.0,6,250.0
Kodanda Reddy Layout,1660.0,2.0,2.0,3,105.0
Yelahanka,1326.0,2.0,2.0,2,78.0
Garudachar Palya,1325.0,2.0,2.0,3,60.8
EPIP Zone,1499.0,5.0,2.0,3,102.0
Hegde Nagar,3000.0,7.0,2.0,6,210.0
Kanakpura Road,1665.0,3.0,2.0,3,88.0
Dasanapura,708.0,2.0,2.0,2,37.0
Kasavanhalli,1060.0,2.0,2.0,2,58.06
Rajaji Nagar,710.0,6.0,3.0,6,160.0
Sanjay nagar,1000.0,2.0,2.0,2,70.0
Electronic City,1000.0,2.0,1.0,2,28.88
 Mysore Highway,1450.0,2.0,2.0,3,70.0
ISRO Layout,1200.0,4.0,2.0,4,155.0
Thanisandra,1296.0,2.0,3.0,2,80.0
Domlur,1540.0,3.0,2.0,3,90.0
Kengeri,2894.0,4.0,1.0,4,245.0
Sarjapura - Attibele Road,1330.0,2.0,1.0,3,48.0
Devasthanagalu,1200.0,2.0,1.0,2,65.0
T Dasarahalli,1200.0,3.0,1.0,3,90.0
Yeshwanthpur,2502.0,3.0,3.0,3,138.0
Chandapura,650.0,1.0,1.0,2,17.0
Kothanur,2400.0,2.0,1.0,3,150.0
Green View Layout,1007.0,2.0,2.0,2,43.0
Shantiniketan Layout,1200.0,2.0,2.0,2,50.0
Peenya,966.0,2.0,2.0,2,49.9
Nagarbhavi,1630.0,2.0,1.0,3,98.0
Rajaji Nagar,1640.0,3.0,2.0,3,229.0
Jalahalli West,782.0,2.0,2.0,2,55.68
Devanahalli,1260.0,2.0,2.0,2,66.78
Lakshmiamma Garden,1800.0,3.0,3.0,3,120.0
Byatarayanapura,1413.0,2.0,2.0,3,75.0
Whitefield,1116.0,2.0,1.0,2,51.91
Electronic City,1530.0,2.0,1.0,3,45.9
Ramamurthy Nagar,3700.0,4.0,1.0,4,225.0
Sarjapur  Road,2497.0,3.0,2.0,3,140.0
Kengeri,1540.0,2.0,3.0,3,64.0
Thanisandra,1436.0,3.0,1.0,3,74.75
Malleshwaram,1100.0,2.0,2.0,2,75.0
Hennur Road,276.0,3.0,3.0,2,23.0
Thanisandra,1427.0,3.0,2.0,3,120.0
Akshaya Nagar,2061.0,3.0,1.0,3,200.0
Hebbal,5611.5,4.0,0.0,4,477.0
Shampura,2650.0,4.0,2.0,4,150.0
Devanahalli,1282.0,2.0,2.0,3,68.52
Kadugodi,1050.0,2.0,1.0,2,34.0
LB Shastri Nagar,1600.0,3.0,2.0,3,65.0
Vajarahalli,945.0,2.0,1.0,2,54.0
Hormavu,1500.0,2.0,1.0,2,78.0
Vishwapriya Layout,950.0,7.0,0.0,7,115.0
Peenya,1870.0,3.0,3.0,3,110.0
Sarjapur,1600.0,3.0,1.0,3,75.0
Electronic City,880.0,1.0,1.0,2,16.5
Ramaswamy Palya - Kammanahalli Main Road,1200.0,4.0,0.0,4,210.0
Kudlu Gate,1535.0,3.0,2.0,3,83.0
Kanakpura Road,950.0,2.0,1.0,2,57.0
Devanahalli,1360.0,2.0,1.0,2,65.0
8th Phase JP Nagar,1073.5,2.0,0.0,2,54.005
Bommasandra Industrial Area,1280.0,3.0,1.0,3,50.4
Chandra Layout,1260.0,2.0,2.0,3,85.05
Yelahanka,3050.0,5.0,1.0,5,213.0
Kasavanhalli,1563.05,3.0,1.0,3,105.0
ISRO Layout,1000.0,2.0,1.0,2,60.0
Anandapura,1167.0,2.0,1.0,2,43.76
Vishveshwarya Layout,4000.0,7.0,2.0,7,225.0
Kengeri Satellite Town,890.0,2.0,1.0,2,35.0
Basavanapura,1612.0,3.0,3.0,3,46.74
Mysore Road,1710.0,4.0,2.0,3,91.31
Kannamangala,957.0,2.0,1.0,2,58.0
 Devarachikkanahalli,1250.0,2.0,3.0,3,44.0
Hulimavu,1125.0,2.0,2.0,2,50.0
Electronic City Phase II,1020.0,2.0,1.0,2,30.6
Kalena Agrahara,1200.0,2.0,2.0,2,50.0
Thanisandra,1735.0,3.0,3.0,3,135.0
Thanisandra,2050.0,3.0,1.0,3,145.0
Mahalakshmi Layout,3750.0,4.0,0.0,4,760.0
Yarandahalli,1350.0,2.0,3.0,3,48.0
Hosa Road,1063.0,2.0,1.0,2,32.0
Keshava Nagar,1904.0,3.0,1.0,3,150.0
Whitefield,4200.0,4.0,2.0,4,420.0
RMV Extension,2000.0,3.0,1.0,3,175.0
Sarjapur,1242.5,2.0,0.0,2,43.49
Tejaswini Nagar,1425.0,2.0,2.0,3,75.0
Electronic City,1500.0,2.0,1.0,3,64.5
Electronic City,1060.0,2.0,1.0,2,60.0
Jai Bheema Nagar,1470.0,2.0,2.0,3,70.0
Kothnur Narayanapura,1300.0,6.0,0.0,6,99.0
Attibele,450.0,1.0,1.0,1,11.0
Electronic City,1152.0,2.0,1.0,2,64.5
Electronic City,1350.0,2.0,1.0,3,56.0
CV Raman Nagar,1550.0,3.0,3.0,3,65.0
CHIKKATIRUPATHI,1500.0,3.0,2.0,3,100.0
Kumaraswami Layout,600.0,3.0,2.0,5,85.0
Nagavara,400.0,1.0,0.0,1,14.0
Malleshwaram,705.0,1.0,2.0,1,67.0
Electronic City,770.0,1.0,1.0,2,36.0
Hulimavu,1242.0,2.0,3.0,2,51.0
Hebbal Kempapura,1700.0,3.0,2.0,3,155.0
Thanisandra,2144.0,3.0,2.0,3,145.0
Vijayanagar,1704.0,3.0,2.0,3,110.0
Electronic City,1070.0,2.0,1.0,2,52.0
8th block Koramangala,1846.0,3.0,2.0,3,300.0
Jakkuru Layout,1340.0,2.0,2.0,2,55.7
Electronic City,1025.0,2.0,1.0,2,46.0
KR Puram,1277.5,2.0,0.0,2,56.8
Marathahalli,1200.0,2.0,2.0,2,52.0
Kanakpura Road,2250.0,4.0,1.0,4,110.0
Pattandur Agrahara,1550.0,2.0,3.0,3,80.0
Ejipura,1800.0,7.0,1.0,7,250.0
Marathahalli,1200.0,2.0,2.0,2,60.0
Yelahanka,1327.0,2.0,2.0,2,98.0
Kothanur,1186.0,2.0,2.0,2,58.0
MS Pallya,1783.0,3.0,1.0,3,115.0
HSR Layout,1400.0,3.0,2.0,3,56.0
Nagasandra,980.0,2.0,1.0,2,48.0
EPIP Zone,1285.0,2.0,2.0,2,82.0
Langford Town,912.0,2.0,1.0,3,70.0
Whitefield,1225.0,2.0,2.0,2,47.6
Whitefield,1075.0,2.0,1.0,2,53.0
Kadugodi,1260.0,2.0,2.0,3,54.0
Yelahanka,1282.0,2.0,2.0,3,48.7
Kogilu,1909.0,3.0,2.0,3,88.0
Panathur,1359.0,2.0,1.0,2,87.0
Nagondanahalli,1207.0,2.0,2.0,2,43.5
Padmanabhanagar,1736.0,6.0,0.0,4,190.0
1st Block Jayanagar,2850.0,4.0,1.0,4,428.0
Kammasandra,1595.0,3.0,2.0,3,65.0
"Off Sarjapur Road, ",1798.0,3.0,2.0,3,89.0
Electronics City Phase 1,1475.0,3.0,2.0,3,78.29
Tala Cauvery Layout,1580.0,3.0,3.0,3,100.0
Dasarahalli,1295.0,2.0,1.0,2,65.0
Magadi Road,3600.0,6.0,0.0,6,141.0
Electronic City,589.0,1.0,1.0,1,27.0
Ngef Layout,1415.0,3.0,3.0,3,78.0
Sarjapur  Road,1787.0,3.0,2.0,3,98.29
Sarjapur  Road,1787.0,3.0,2.0,3,125.0
Koramangala,1475.0,2.0,3.0,3,90.0
"Lakshminarayanapura, Electronic City Phase 2",2000.0,4.0,1.0,4,75.5
Sarjapur  Road,984.0,2.0,1.0,2,44.28
Muthurayya Swamy Layout,2405.0,4.0,2.0,3,260.0
7th Phase JP Nagar,1080.0,2.0,2.0,2,72.0
Shantiniketan Layout,1500.0,2.0,1.0,2,115.0
Hebbal,1900.0,3.0,2.0,3,119.0
Dommasandra,805.0,2.0,1.0,2,22.14
Budigere,1153.0,2.0,2.0,2,56.4
Dodda Nekkundi Extension,1148.0,2.0,2.0,2,60.0
Mylasandra,1110.0,2.0,2.0,2,55.0
Electronic City,1100.0,2.0,2.0,2,42.0
Kalyan nagar,1290.0,2.0,2.0,2,110.0
Dr Shivarama Karantha Nagar,1500.0,2.0,1.0,3,65.0
Bank Of Baroda Colony,1080.0,2.0,2.0,2,39.0
Vijayanagar,1933.0,3.0,1.0,3,129.0
Ramamurthy Nagar,3500.0,5.0,2.0,5,150.0
Kullappa Colony,1060.0,2.0,2.0,2,60.0
Chandapura,645.0,1.0,1.0,1,16.45
Mukkutam Nagar,2600.0,8.0,2.0,8,180.0
Chandapura,645.0,1.0,1.0,1,16.45
Ashwath Nagar,1644.0,3.0,3.0,3,84.0
Ncpr Industrial Layout,1285.0,2.0,3.0,2,72.5
Electronic City,1200.0,3.0,1.0,3,90.0
Electronic City,910.0,2.0,1.0,2,40.0
Kothanur,1577.0,3.0,1.0,3,70.0
Meenakunte,4050.0,3.0,2.0,3,280.0
OMBR Layout,2420.0,3.0,2.0,3,185.0
Chandapura,800.0,1.0,1.0,2,20.0
Anand Nagar,1060.0,2.0,2.0,2,55.0
7th Phase JP Nagar,1270.0,2.0,2.0,2,93.0
Shree Ananth Nagar Layout,900.0,2.0,2.0,2,22.5
Kundalahalli Colony,1280.0,2.0,1.0,2,69.0
Horamavu Agara,1200.0,2.0,0.0,4,95.0
Sarjapur  Road,1025.0,2.0,2.0,2,36.0
Electronic City,1108.0,2.0,1.0,2,63.0
Coffee Board Layout,3045.0,3.0,2.0,3,170.0
Ambedkar Nagar,2900.0,3.0,2.0,4,300.0
Vijayanagar,1500.0,3.0,2.0,3,75.5
Raja Rajeshwari Nagar,1295.0,2.0,2.0,2,43.9
Budigere,1162.0,2.0,1.0,2,59.9
Sarjapur  Road,1035.0,2.0,2.0,2,49.2
Attibele,1600.0,4.0,0.0,4,52.8
KUDLU MAIN ROAD,1464.0,3.0,2.0,3,46.0
Hennur Road,1866.0,2.0,2.0,3,61.58
Geleyara Balaga Layout,700.0,1.0,1.0,2,26.0
Kalena Agrahara,1804.0,3.0,2.0,3,120.0
Sarjapur,913.0,2.0,1.0,2,32.0
Talaghattapura,1868.0,3.0,2.0,3,131.0
Kengeri Satellite Town,883.0,2.0,1.0,2,45.0
Sundara Nagar,900.0,2.0,1.0,2,110.0
Kogilu,1664.0,2.0,3.0,3,73.95
Hegde Nagar,2026.0,3.0,2.0,3,132.0
Balagere,1210.0,2.0,1.0,2,80.9
Meenakunte,4111.0,4.0,2.0,4,250.0
Kadugodi,1762.0,3.0,3.0,3,91.45
Jigani,1252.0,3.0,3.0,3,55.0
Gollarapalya Hosahalli,861.0,2.0,1.0,2,34.5
7th Phase JP Nagar,1420.0,2.0,1.0,3,100.0
Srirampura,1450.0,6.0,0.0,6,250.0
Electronics City Phase 1,1490.0,3.0,1.0,3,78.8
Bisuvanahalli,1075.0,2.0,1.0,3,46.0
Old Madras Road,1425.0,2.0,2.0,3,94.0
Kalena Agrahara,1200.0,2.0,1.0,2,40.0
Kaggadasapura,1280.0,2.0,2.0,3,56.0
Silver Springs Layout,1084.0,2.0,2.0,2,50.0
Chandapura,1015.0,2.0,2.0,2,25.88
Kanakpura Road,1017.0,2.0,1.0,2,51.25
Haralur Road,1027.0,2.0,2.0,2,44.0
Electronic City Phase II,1069.0,2.0,2.0,2,45.0
Hebbal,1349.0,2.0,1.0,2,98.2
9th Phase JP Nagar,1005.0,2.0,1.0,2,50.0
Jakkur,1417.0,2.0,3.0,2,75.0
TC Palaya,1475.0,3.0,1.0,3,98.0
Maruthi Sevanagar,950.0,2.0,2.0,2,47.0
RMV 2nd Stage,2000.0,4.0,0.0,4,120.0
Giri Nagar,880.0,3.0,1.0,3,140.0
Sarjapur  Road,1863.0,3.0,2.0,4,104.0
Singasandra,1010.0,2.0,1.0,2,29.5
Kalena Agrahara,1425.0,2.0,1.0,3,70.0
Vijayanagar,1450.0,3.0,0.0,3,100.0
Kothanur,1847.0,3.0,2.0,3,105.0
AECS Layout,1100.0,2.0,3.0,2,45.0
Kanakpura Road,525.0,1.0,1.0,1,26.0
Mallasandra,1665.0,3.0,2.0,3,95.0
Begur,1664.0,4.0,3.0,4,65.0
JP Nagar,1850.0,3.0,3.0,3,150.0
Panathur,1438.0,2.0,3.0,2,100.0
Sunder Ram Shetty Nagar,1560.0,3.0,3.0,3,115.0
Yelahanka,1350.0,2.0,1.0,2,55.55
Kanakpura Road,1550.0,3.0,3.0,3,67.0
Malleshpalya,1140.0,2.0,2.0,2,46.5
Srirampura,1200.0,5.0,2.0,5,180.0
Kodathi,850.0,2.0,2.0,2,27.0
Whitefield,1280.0,2.0,2.0,2,75.0
Munnekollal,1170.0,2.0,2.0,2,52.0
Motappa Layout,1113.0,2.0,1.0,2,51.0
Hennur Road,1385.0,2.0,1.0,2,83.09
Electronic City,1128.0,2.0,1.0,2,65.0
Marathahalli,1200.0,2.0,2.0,2,128.0
Akshaya Vana,1200.0,4.0,3.0,4,165.0
Rajaji Nagar,2390.0,3.0,2.0,3,415.0
Giri Nagar,2400.0,4.0,1.0,4,400.0
Haralur Road,1464.0,3.0,2.0,3,56.0
Manayata Tech Park,1200.0,2.0,2.0,2,55.0
Kaval Byrasandra,1200.0,2.0,2.0,2,52.0
Kaggalipura,1150.0,2.0,1.0,3,55.0
Basavanna Nagar,1645.0,3.0,2.0,3,95.0
Sarjapur  Road,1000.0,2.0,1.0,2,67.0
Haralur Road,2650.0,4.0,2.0,4,198.0
6th Phase JP Nagar,1192.0,2.0,2.0,2,74.0
Ulsoor,2135.0,3.0,2.0,3,215.0
Whitefield,1173.0,2.0,1.0,2,58.0
Uttarahalli,1020.0,2.0,2.0,2,45.0
Thigalarapalya,3122.0,6.0,2.0,4,230.0
Somasundara Palya,1600.0,3.0,3.0,3,64.0
T.C PALYA,1200.0,2.0,0.0,2,79.0
Muneshwara Nagar,1230.0,2.0,3.0,2,48.0
 Devarachikkanahalli,1250.0,2.0,2.0,2,40.0
Kalena Agrahara,1325.0,2.0,2.0,2,76.0
7th Phase JP Nagar,1850.0,3.0,1.0,3,150.0
Basaveshwara Nagar,1200.0,2.0,2.0,2,65.0
Bull Temple Road,1350.0,2.0,0.0,3,140.0
Bommasandra,1260.0,3.0,1.0,3,49.36
Prashanth Nagar,1800.0,3.0,0.0,3,150.0
Suragajakkanahalli,11.0,3.0,2.0,3,74.0
Ardendale,1100.0,2.0,1.0,2,43.25
Harlur,1508.0,2.0,1.0,2,77.0
Sampigehalli,1592.0,3.0,2.0,3,75.0
Akshaya Nagar,1388.0,2.0,3.0,2,57.0
Electronic City Phase II,630.0,1.0,1.0,1,28.35
RMV,2000.0,3.0,2.0,3,365.0
Banashankari3rd stage bigbazar,1762.0,3.0,1.0,3,125.0
Bagalur Main Road,950.0,2.0,2.0,2,50.0
Kodihalli,3252.0,5.0,3.0,4,335.0
Magadi Road,1116.0,2.0,1.0,2,50.0
Narayanapura,1308.0,2.0,2.0,2,89.04
MS Pallya,1200.0,3.0,0.0,3,90.0
Binny Mills Employees Colony,1500.0,4.0,2.0,4,230.0
Bannerghatta Road,500.0,1.0,1.0,1,18.5
Hennur,1075.0,2.0,1.0,2,52.0
Chandapura,530.0,1.0,0.0,1,11.66
Bellandur,1205.0,2.0,3.0,2,66.0
5th Phase JP Nagar,1075.0,2.0,2.0,2,60.0
KR Puram,930.0,2.0,2.0,2,39.0
Balagere,1380.0,2.0,1.0,2,60.0
Hebbal,2483.0,5.0,2.0,4,212.0
Kodigehaali,1166.0,2.0,2.0,2,55.0
Bannerghatta Road,1050.0,2.0,1.0,2,65.0
Gopalapura,2023.71,3.0,2.0,3,275.0
Begur Road,1200.0,2.0,2.0,2,46.8
Lakshminarayana Pura,1600.0,2.0,1.0,3,108.0
Billekahalli,1935.0,3.0,2.0,3,110.0
8th Phase JP Nagar,451.0,1.0,0.0,1,29.9
Electronic City,1800.0,3.0,2.0,3,95.0
Jalahalli,1400.0,3.0,0.0,3,77.0
Hegde Nagar,1801.0,3.0,2.0,3,115.0
Anekal,1200.0,1.0,1.0,2,36.0
Begur Road,1160.0,2.0,2.0,2,44.0
Kengeri,1000.0,2.0,1.0,2,25.0
Kanakpura Road,950.0,2.0,1.0,2,40.0
"Hoodi Circle, ",1629.0,3.0,2.0,3,79.0
Vijayanagar,1580.0,2.0,0.0,3,134.0
Vijayanagar,1826.0,3.0,2.0,3,121.0
7th Phase JP Nagar,1245.0,2.0,1.0,2,94.0
Raja Rajeshwari Nagar,1145.0,2.0,2.0,2,45.79
Sompura,825.0,2.0,1.0,2,33.0
Yeshwanthpur,1693.0,3.0,3.0,3,108.0
Electronics City Phase 1,1113.27,2.0,2.0,2,53.0
Ashirvad Colony,1460.0,2.0,1.0,2,58.0
Doddathoguru,1050.0,2.0,1.0,2,32.0
Dodda Nekkundi,1260.0,2.0,2.0,2,55.0
Hosur Road,1656.0,2.0,1.0,2,120.0
Chandapura,1208.0,3.0,1.0,3,45.0
Whitefield,1910.0,3.0,2.0,3,161.0
Whitefield,3252.0,4.0,1.0,4,230.0
Battarahalli,1200.0,2.0,1.0,2,65.0
Gokula Extension,1200.0,4.0,1.0,4,175.0
7th Phase JP Nagar,1175.0,2.0,1.0,2,82.0
Kamakshipalya,1000.0,2.0,0.0,2,165.0
Bannerghatta Road,1200.0,2.0,0.0,4,125.0
Rajaji Nagar,2390.0,3.0,2.0,3,410.0
Rajaji Nagar,12000.0,6.0,3.0,7,2200.0
Sultan Palaya,550.0,1.0,1.0,2,62.0
Kengeri,750.0,2.0,1.0,2,38.0
Mahalakshmi Layout,1200.0,7.0,3.0,6,250.0
Kanakpura Road,1550.0,3.0,3.0,3,64.5
Amco Colony,1760.0,3.0,2.0,3,88.0
Billekahalli,1125.0,2.0,2.0,2,62.0
Nagarbhavi,1350.0,3.0,2.0,3,150.0
Anandapura,1000.0,2.0,1.0,2,55.0
Bommasandra Industrial Area,1090.0,2.0,2.0,2,31.48
TC Palaya,1200.0,2.0,0.0,2,60.0
Budigere,1991.0,4.0,2.0,3,103.0
Bommasandra,1060.0,2.0,1.0,2,26.5
Ambalipura,1105.0,2.0,1.0,2,75.0
Hoodi,985.0,2.0,2.0,2,67.0
Chandapura,1533.0,5.0,3.0,6,85.0
Balagere,1590.0,3.0,2.0,3,79.0
CV Raman Nagar,1120.0,2.0,2.0,2,55.0
Samethanahalli,1069.0,2.0,1.0,2,55.0
Marathahalli,1933.0,3.0,2.0,3,140.0
Hosur Road,1194.0,2.0,0.0,2,69.0
Brookefield,1150.0,2.0,3.0,2,69.0
Yelenahalli,1240.0,2.0,2.0,2,47.12
Raja Rajeshwari Nagar,1419.0,2.0,2.0,2,48.1
Suddaguntepalya,1450.0,3.0,2.0,3,55.0
Udayapur Village,1630.0,3.0,2.0,3,68.29
Dasanapura,708.0,1.0,1.0,2,40.0
Kasavanhalli,1000.0,4.0,3.0,3,110.0
Whitefield,11890.0,4.0,3.0,4,700.0
Bellandur,1250.0,2.0,1.0,2,76.0
7th Phase JP Nagar,1400.0,2.0,1.0,3,95.0
Sarjapur  Road,1670.0,2.0,3.0,3,57.0
Ardendale,1750.0,3.0,2.0,3,100.0
Vittasandra,1404.0,2.0,1.0,2,71.0
Hoodi,1715.0,2.0,2.0,3,95.0
Electronic City,630.0,1.0,1.0,1,34.65
Harlur,1752.12,3.0,2.0,3,135.0
Hulimavu,1650.0,3.0,2.0,3,78.0
Raja Rajeshwari Nagar,1295.0,2.0,1.0,2,55.47
Giri Nagar,1800.0,3.0,2.0,3,252.0
Sarjapur  Road,1346.0,2.0,1.0,2,74.03
Thippasandra,1200.0,4.0,2.0,4,200.0
Hormavu,1150.0,2.0,2.0,2,55.0
Chikkabidarakallu,3309.0,4.0,3.0,4,325.0
Chandapura,1190.0,2.0,2.0,3,30.35
AECS Layout,1620.0,3.0,2.0,3,98.0
Marathahalli,950.0,2.0,1.0,2,46.96
1 Giri Nagar,5000.0,9.0,3.0,11,360.0
Harlur,2450.0,3.0,0.0,3,120.0
Electronic City Phase II,1220.0,2.0,1.0,3,35.23
Hoysalanagar,850.0,2.0,1.0,2,30.0
Padmanabhanagar,1020.0,2.0,2.0,2,63.0
Chikkalasandra,1100.0,2.0,2.0,2,50.0
Defence Colony,1150.0,2.0,2.0,2,126.0
Hebbal,1760.0,2.0,2.0,3,130.0
Ambalipura,1800.0,3.0,3.0,3,110.0
Akshaya Nagar,1070.0,2.0,1.0,2,54.0
2nd Stage Nagarbhavi,1500.0,4.0,2.0,4,220.0
Vidyaranyapura,1440.0,2.0,0.0,2,95.0
Amruthahalli,900.0,2.0,1.0,2,40.0
ITI Employees Layout,1200.0,4.0,1.0,4,230.0
Whitefield,1130.0,2.0,1.0,2,42.16
Koramangala,1320.0,2.0,1.0,2,165.0
Kodigehalli,1270.0,2.0,1.0,2,98.0
Patelappa Layout,1200.0,2.0,1.0,2,62.0
NS Palya,1200.0,2.0,1.0,2,74.0
Subramanyapura,929.0,2.0,0.0,2,50.17
RMV 2nd Stage,1150.0,4.0,2.0,4,260.0
Basavangudi,1125.0,4.0,3.0,4,180.0
Kenchenahalli,500.0,3.0,2.0,5,65.0
3rd Block Hrbr Layout,1200.0,5.0,2.0,5,190.0
KUDLU MAIN ROAD,1464.0,3.0,2.0,3,56.0
7th Phase JP Nagar,3600.0,4.0,3.0,4,400.0
Bank Avenue,2000.0,4.0,2.0,4,99.0
Chikkalasandra,1208.0,2.0,1.0,2,49.0
Hebbal Kempapura,1130.0,2.0,2.0,2,60.0
Surabhi Layout,1753.0,3.0,2.0,3,120.0
Old Madras Road,4500.0,7.0,3.0,5,337.0
Banjara Layout,600.0,3.0,2.0,3,58.0
Hoodi,1196.0,2.0,2.0,2,94.42
5th Phase JP Nagar,1150.0,3.0,3.0,2,52.5
Electronic City,1128.0,2.0,1.0,2,63.0
Omkar Nagar,1000.0,2.0,1.0,2,53.0
Yelahanka,1035.0,2.0,1.0,2,45.0
Kereguddadahalli,950.0,2.0,1.0,2,32.0
Bisuvanahalli,1075.0,2.0,1.0,3,36.0
Whitefield,1040.0,2.0,1.0,2,48.5
Maragondanahalli,720.0,2.0,1.0,2,45.0
Lingadheeranahalli,1511.0,3.0,1.0,3,95.0
Silk Board,1300.0,3.0,1.0,3,58.0
Hoodi,1545.0,3.0,1.0,3,68.75
Shampura,375.0,2.0,0.0,1,26.0
Vidyaranyapura,1062.0,2.0,3.0,2,38.0
Kada Agrahara,1115.0,2.0,1.0,2,40.0
JP Nagar,1000.0,2.0,1.0,2,35.0
Kambipura,883.0,2.0,1.0,2,45.0
Sarjapur  Road,1195.0,2.0,1.0,2,70.0
BHEL Layout,1200.0,3.0,1.0,4,165.0
Medahalli,700.0,1.0,0.0,1,41.0
Vittasandra,1246.0,2.0,1.0,2,67.0
8th Phase JP Nagar,660.0,4.0,2.0,4,90.0
Banashankari Stage III,8500.0,4.0,2.0,4,145.0
Kashi Nagar,1600.0,4.0,1.0,4,80.0
Haralur Road,2805.0,5.0,3.0,4,154.0
Sector 7 HSR Layout,3000.0,5.0,1.0,4,275.0
Hosur Road,1175.0,2.0,2.0,3,48.0
"Yemlur, Old Airport Road, ",1595.0,3.0,2.0,3,115.0
VHBCS Layout,1353.0,2.0,2.0,2,110.0
Electronic City,1599.0,3.0,2.0,3,125.0
Whitefield,1150.0,2.0,1.0,2,70.0
Jakkur,5230.0,6.0,1.0,4,465.0
KR Puram,1155.0,2.0,2.0,2,42.74
Ittamadu,1200.0,2.0,0.0,1,85.0
Electronic City Phase II,1000.0,2.0,1.0,2,25.0
Rajiv Nagar,1867.0,3.0,1.0,3,160.0
Ramagondanahalli,1251.0,2.0,1.0,2,47.0
Gattahalli,1028.0,2.0,1.0,2,45.5
Arekere,1222.0,2.0,2.0,2,45.0
Bannerghatta Road,1170.0,2.0,1.0,3,66.0
Hebbal,2400.0,4.0,1.0,3,245.0
